citation,author,book
" Nous naissons, pour ainsi dire, en deux fois : l'une pour exister, et l'autre pour vivre ; l'une pour l'espèce et l'autre pour le sexe. ",Jean-Jacques Rousseau,    Émile ou de l'éducation                                
" La nature n'est pas seulement matière, elle est aussi esprit. ",Carl Gustav Jung,
 C'est une triste chose de songer que la nature parle et que le genre humain n'écoute pas. ,Victor Hugo,
" En permettant l'homme, la nature a commis beaucoup plus qu'une erreur de calcul ; un attentat contre elle-même. ",Emil Cioran,
" Avant, j'avalais n'importe quoi. Maintenant je ne mange que de la nourriture. ",Groucho Marx,
 Un objectif correctement défini est à moitié atteint. ,Zig Ziglar,
" Quand on se propose un but, le temps, au lieu d'augmenter, diminue. ",Antoine Rivarol,
 L'oisiveté est comme la rouille ; elle use plus que le travail. ,Benjamin Franklin,
 Une opinion n'est pas l'opinion du nombre. ,Antoine de Saint-Exupéry,
 Le mensonge et la crédulité s'accouplent et engendrent l'opinion. ,Paul Valéry,
" Trois idéaux ont éclairé ma route et m'ont souvent redonné le courage d'affronter la vie avec optimisme : la bonté, la beauté et la vérité. ",Albert Einstein,
" C'est très mal vu d'être optimiste. Les gens adorent annoncer les nouvelles, surtout les mauvaises. ",Jean Carmet,    Je suis la badaud de moi-même - Ed. Plon                                
" On est orgueilleux par nature, modeste par nécessité. ",Pierre Reverdy,
" La paix n'est pas l'absence de la guerre, mais une vertu qui naît de la force de l'âme. ",Baruch Spinoza,
" Paix et liberté marchent main dans la main. Mais aujourd'hui, il arrive trop souvent que la paix ne règne pas dans nos villes, parce que la liberté y est incomplète. ",John Fitzgerald Kennedy,
 Le pardon n'est peut-être que la forme la plus raffinée de la vengeance. ,Paul-Jean Toulet,
" Élève tes mots, pas ta voix. C'est la pluie qui fait grandir les fleurs, pas le tonnerre. ",Djalâl Al-Dîn Rûmi,
 Parler beaucoup de soi est peut-être un moyen de se dissimuler. ,Friedrich Nietzsche,    Par de-là le bien et le mal                                
" Il y a des gens qui parlent, qui parlent, qui parlent - jusqu'à ce qu'ils aient enfin trouvé quelque chose à dire. ",Sacha Guitry,
" C'est une grande misère que de n'avoir pas assez d'esprit pour bien parler, ni assez de jugement pour se taire. ",Jean de La Bruyère,    Les Caractères                                
" Notre passé n'a que le poids que nous lui laissons ; la réflexion, le travail nous permettent de l'alléger. ",Éric-Emmanuel Schmitt,    La Part de l'autre                                
 On ne met pas son passé dans sa poche ; il faut avoir une maison pour l'y ranger. ,Jean-Paul Sartre,
 La logique des passions renverse l'ordre traditionnel du raisonnement et place la conclusion avant les prémisses. ,Albert Camus,"    L'Homme révolté, éd. Gallimard                                "
" Ce qui distingue le fou du sage, c'est que le premier est guidé par les passions, le second par la raison. ",Érasme,
" La passion fait souvent un fou du plus habile homme, et rend souvent les plus sots habiles. ",La Rochefoucauld,    Maximes                                
 Les grandes souffrances qui peuvent délabrer à jamais une vie affective ne se rencontrent que chez ceux qui connaissent la passion. ,Boris Cyrulnik,
 Vous pouvez tout avoir. Vous ne pouvez juste pas tout avoir en même temps. ,Oprah Winfrey,
 C'est de l'enfer des pauvres qu'est fait le paradis des riches. ,Victor Hugo,
" J'ai toujours eu la certitude qu'éliminer la pauvreté de la planète était davantage une affaire de volonté que de moyens financiers. [...] La charité, de son côté, ne résout rien. Elle ne fait que perpétuer la pauvreté en retirant aux pauvres toute initiative. ",Muhammad Yunus,    Vers un monde sans pauvreté                                
" Souvent, il me semble que la nuit est encore plus richement colorée que le jour. ",Vincent Van Gogh,
 Le peintre lutte et rivalise avec la nature. ,Léonard de Vinci,
" S'il n'y avait qu'une seule vérité, on ne pourrait pas faire cent toiles sur le même thème. ",Pablo Picasso,
" La couleur est mon obsession quotidienne, ma joie et mon tourment. ",Claude Monet,
 Les arrière-pensées que nous prêtons aux autres ne sont jamais que nos propres pensées. ,Gilbert Cesbron,
 Nous ne parvenons jamais à nos pensées. Elles viennent à nous. ,Martin Heidegger,"    L'Expérience de la pensée, éd. Seghers                                "
" L'instinct, c'est l'âme à quatre pattes ; la pensée, c'est l'esprit debout. ",Victor Hugo,
" La pensée est le labeur de l'intelligence, la rêverie en est la volupté. ",Victor Hugo,    Les Misérables                                
" Certaines rudesses de forme sont garanties de l'intégrité de la pensée. Il n'est qu'une façon de dire, et pourquoi serait-elle plaisante ! ",Jean Rostand,
 Il est préférable de faire peu de choses mais à la perfection que beaucoup de choses de façon médiocre. ,Robin Sharma,
" Confronté à la roche, le ruisseau l'emporte toujours, non par la force mais par la persévérance. ",Confucius,
 La vérité de chacun est ce qui le grandit. ,André Maurois,
 Il est besoin que le peuple ignore beaucoup de choses vraies et en croie beaucoup de fausses. ,Montaigne,    Essais                                
 On domine plus facilement les peuples en excitant leurs passions qu'en s'occupant de leurs intérêts. ,Gustave Le Bon,
" Faut pas avoir peur des mots, seulement des gens. ",Frédéric Dard,
 Celui qui contrôle la peur des gens devient le maître de leurs âmes. ,Nicolas Machiavel,    Le Prince                                
" Ce n'est pas la philosophie qui donne des raisons de vivre, c'est la vie qui donne des raisons de penser. ",Raphaël Enthoven,"    Le Nouvel Observateur, 14/06/2007                                "
" Philosopher, c'est penser sa vie et vivre sa pensée. ",André Comte-Sponville,
 Le but de la philosophie est de penser par soi-même. ,Emmanuel Kant,
 Je pense que la philosophie est le plus beau moyen de régler ses comptes avec la mort. ,Umberto Eco,Philosophie Magazine - n°65 décembre 2012/janvier 2013                                
" Une grande philosophie n'est pas celle qui prononce des jugements définitifs, qui installe une vérité définitive. C'est celle qui introduit une inquiétude, qui ouvre un ébranlement. ",Charles Péguy,    Note conjointe sur M. Bergson                                
" Par la photographies, l'infini sauvage devient un infini domestique. ",Michel Tournier,
" La photographie, c'est la synthèse d'une situation. L'instant où tout s'assemble. L'idéal insaisissable. ",Elliott Erwitt,    Photographies 1946 - 1988                                
 Que de bonheurs possibles dont on sacrifie ainsi la réalisation à l'impatience d'un plaisir immédiat. ,Marcel Proust,
" Le plaisir n'est pas un mal en soi, mais certains plaisirs apportent plus de peine que de plaisir. ",Épicure,
" La moitié de la gloire de Baudelaire vient, non de ses grands vers, mais de ce qu'il n'est jamais content. ",Baudelaire,"    Dictionnaire égoïste de la littérature française, éd. Grasset                                "
 Le poète se consacre et se consume à définir et à construire un langage dans le langage. ,Paul Valéry,
 La poésie est de toutes les choses humaines la plus voisine des choses divines. ,Victor Hugo,
" La Poésie, c'est l'Enthousiasme cristallisé. ",Alfred de Vigny,
" Nommer un objet, c'est supprimer les trois quarts de la jouissance du poème qui est faite du bonheur de deviner peu à peu : le suggérer, voilà le rêve. ",Stéphane Mallarmé,
 Les plus beaux vers sont ceux qui s'exhalent comme des sons ou des parfums. ,Joseph Joubert,    Pensées                                
" Être de gauche c'est d'abord penser le monde, puis son pays, puis ses proches, puis soi ; être de droite c'est l'inverse. ",Gilles Deleuze,
" Un politicien ne peut faire carrière sans mémoire, car il doit se souvenir de toutes les promesses qu'il lui faut oublier. ",Frédéric Dard,
" Tout n'est pas politique, mais la politique s'intéresse à tout. ",Nicolas Machiavel,
" J'ai appris à redouter chez les hommes politiques, même chez les grands, un empirisme qui les soumet à l'événement. ",François Mauriac,
 L'objet principal de la politique est de créer l'amitié entre les membres de la cité. ,Aristote,
 Il vaut mieux se faire aimer que se faire craindre. ,Pythagore,
" Le vrai politique, c'est celui qui sait garder son idéal tout en perdant ses illusions. ",John Fitzgerald Kennedy,
 Toute classe qui aspire à la domination doit conquérir d'abord le pouvoir politique pour représenter à son tour son intérêt propre comme étant l'intérêt général. ,Karl Marx,
 Le pouvoir est l'aphrodisiaque suprême. ,Henry Kissinger,"    The Guardian, 28 novembre 1976                                "
" Il n'y a que l'instant présent, jusqu'à ce que celui-ci coïncide avec celui de notre mort. L'amour est encore la meilleure façon d'employer cet instant - une manière de séjourner auprès de ce que la vie a de plus faible et de plus doux. ",Christian Bobin,"    La plus que vive, éd Gallimard                                "
 J'apprends tous les jours davantage qu'on n'est jamais sûr du lendemain. ,Henri Lacordaire,
" Le présent n'est pas un passé en puissance, il est le moment du choix et de l'action. ",Simone de Beauvoir,"    Pour une morale de l'ambiguïté, éd. Gallimard                                "
" C'est joli le progrès ! Demain, quand on offrira un livre à un gamin, il le tournera dans tous les sens pour savoir où il faut mettre les piles. ",Coluche,
 Il vaut mieux débattre d'une question sans la régler que la régler sans en avoir débattu. ,Joseph Joubert,    Pensées                                
" La raison demande à chaque homme de s'aimer soi-même, de chercher ce qui lui est utile véritablement, de désirer tout ce qui le conduit réellement à une perfection plus grande. ",Baruch Spinoza,
 La raison nous trompe plus souvent que la nature. ,Vauvenargues,    Réflexions et Maximes                                
 Pour bien raisonner il faut n'être ni amoureux ni en colère. ,Giacomo Casanova,    Histoire de ma vie                                
" La raison demande à chaque homme de s'aimer soi-même, de chercher ce qui lui est utile véritablement, de désirer tout ce qui le conduit réellement à une perfection plus grande. ",Baruch Spinoza,
 La raison nous trompe plus souvent que la nature. ,Vauvenargues,    Réflexions et Maximes                                
 Pour bien raisonner il faut n'être ni amoureux ni en colère. ,Giacomo Casanova,    Histoire de ma vie                                
 La réalité ne se révèle qu'éclairée par un rayon poétique. ,Georges Braque,    Le Jour et la Nuit                                
" Trop souvent, nous jouissons du confort de l'opinion sans l'inconfort de la réflexion. ",John Fitzgerald Kennedy,
" On a tant abusé du regard dans les romans d'amour qu'on a fini par le déconsidérer. C'est à peine si l'on ose dire maintenant que deux êtres se sont aimés parce qu'ils se sont regardés. C'est portant comme cela qu'on s'aime et uniquement comme cela. Le reste n'est que le reste, et vient après. Rien n'est plus réel que ces grandes secousses que deux âmes se donnent en échangeant cette étincelle. ",Victor Hugo,    Les Misérables                                
" Quand je me regarde, je me désole. Quand je me compare, je me console. ",Talleyrand,
 Celui qui disperse ses regards sur tout ne voit rien ou voit mal. ,Denis Diderot,
" Entre deux individus, l'harmonie n'est jamais donnée, elle doit indéfiniment se conquérir. ",Simone de Beauvoir,    La Force de l'âge                                
 Combien il est contraire au dessein de Dieu que la vérité de sa religion soit aussi évidente et claire pour tous les hommes qu'une démonstration mathématique. ,Isaac Newton,
" Les péchés que vous faites deux à deux, vous devez les payer un à un. ",Rudyard Kipling,
" Une religion est un système solidaire de croyances et de pratiques relatives à des choses sacrées, c'est-à-dire séparées, interdites, croyances et pratiques qui unissent en une même communauté morale, appelée Église, tous ceux qui y adhèrent. ",Émile Durkheim,    Les formes élémentaires de la vie religieuse                                
" Il n'y pas de hasard dans les rencontres... [...] Les rencontres nous attendent mais parfois nous les empêchons d'avoir lieu... Si nous sommes désespérés et si nous n'avons plus rien à perdre, ou au contraire enthousiasmés par la vie, l'inconnu se manifeste et notre univers change. Les rencontres les plus importantes ont été préparées par les âmes bien avant que les corps ne se voient... ",Paulo Coelho,
" Même dans la solitude, ne dis ni ne fais rien de blâmable. Apprends à te respecter beaucoup plus devant ta propre conscience que devant autrui. ",Démocrite,
 Tous ceux qui réussissent font des efforts continus. Ils ne se contentent pas de bons résultats et cherchent toujours à se surpasser. ,Anthony Robbins,"    Les onze lois de la réussite, éd. J'ai lu                                "
 L'obstination est le chemin de la réussite. ,Charlie Chaplin,    Ma vie                                
 Qu'est-ce qui conditionne la réussite ? La capacité à soutenir un effort continu. ,Henry Ford,
 Il n'est rien de réel que le rêve et l'amour. ,Anna de Noailles,
" On ne peut rêver que si on a les pieds sur terre. Plus les racines sont profondes, plus les branches sont porteuses. ",Juliette Binoche,
 Le rêve est une seconde vie. Je n'ai pu percer sans frémir ces portes d'ivoire ou de corne qui nous séparent du monde invisible. ,Gérard de Nerval,"    Aurélia, éd. Gallimard                                "
" Rares sont ceux qui ont assez de folie pour entreprendre de réaliser leurs rêves, la société leur fait souvent payer une telle originalité. ",Marc Levy,"    Le premier jour, Ed. Pocket                                "
" Rêve de grandes choses, cela te permettra d'en faire au moins de toutes petites. ",Jules Renard,    Journal                                
" Pourquoi n'accorderais-je pas au rêve ce que je refuse parfois à la réalité, soit cette valeur de certitude en elle-même, qui, dans son temps, n'est point exposée à mon désaveu ? ",André Breton,"    Manifeste du surréalisme, éd. Gallimard                                "
" Dans les révolutions, il y a deux sortes de gens : ceux qui les font et ceux qui en profitent. ",Napoléon Bonaparte,
" Une personne très riche doit laisser suffisamment à ses enfants pour qu'ils fassent ce qu'ils veulent, mais pas assez pour qu'ils ne fassent rien. ",Warren Buffett,
" Le rire, c'est une espèce de palliatif aux angoisses existentielles. ",Pierre Desproges,
" Le rire est le propre de l'homme, car l'esprit s'y délivre des apparences. ",Alain,
 Rien ne désarme comme le rire. ,Henri Bergson,    Le Rire                                
 La sagesse permet de mieux résister aux aléas de la vie. Elle nous aide à savourer pleinement les moments heureux et à ne jamais désespérer dans les moments douloureux. ,Frédéric Lenoir,
" Sagesse n'est pas sagesse lorsqu'elle est trop fière pour pleurer, trop sérieuse pour rire et trop pensive pour parler. ",Khalil Gibran,
 Tout ce qui est véritablement sage est simple et clair. ,Maxime Gorki,
" La jeunesse est le temps d'étudier la sagesse, la vieillesse est le temps de la pratiquer. ",Jean-Jacques Rousseau,
" On ne reçoit pas la sagesse, il faut la découvrir soi-même, après un trajet que personne ne peut faire pour nous, ne peut nous épargner. ",Marcel Proust,    À la recherche du temps perdu                                
" Il n'est pas possible de vivre heureux sans être sage, honnête et juste, ni sage, honnête et juste sans être heureux. ",Épicure,
" Il y a trois savoirs : le savoir proprement dit, le savoir-faire, et puis le savoir-vivre : les deux derniers dispensent bien souvent du premier. ",Talleyrand,
 Il n'y a point d'homme au monde qui parvienne à savoir tout ; mais tout homme doit aspirer à tout savoir. ,Giacomo Casanova,    Histoire de ma vie                                
" La science ne souscrit à une loi ou une théorie qu'à l'essai, ce qui signifie que toutes les lois et les théories sont des conjectures ou des hypothèses provisoires. ",Karl Popper,"    Conjectures et réfutations, éd. Payot                                "
" On fait la science avec des faits, comme on fait une maison avec des pierres ; mais une accumulation de faits n'est pas plus une science qu'un tas de pierres n'est une maison. ",Henri Poincaré,"    La Science et l'Hypothèse, éd. Flammarion                                "
 La statistique est la première des sciences inexactes. ,Edmond et Jules de Goncourt,    Journal                                
" Rien ne pèse tant qu'un secret ; Le porter loin est difficile aux dames, Et je sais même sur ce fait, Bon nombre d'hommes qui sont femmes. ",Jean de La Fontaine,    Les Femmes et le Secret                                
 Les femmes jouissent d'abord par l'oreille. ,Marguerite Duras,
" Une femme a toujours, en vérité, la situation qu'elle impose par l'illusion qu'elle sait produire. ",Guy de Maupassant,
" Si c'est la raison qui fait l'homme, c'est le sentiment qui le conduit. ",Jean-Jacques Rousseau,    Julie ou la Nouvelle Héloïse                                
 Un petit mot sur la contraception orale. J'ai demandé à une fille de coucher avec moi et elle a dit non. ,Woody Allen,
" Notre société est vraiment trop permissive. Jamais encore la pornographie ne s'était étalée avec une telle impudeur. Et en plus, les clichés sont flous ! ",Woody Allen,
 Seul le silence permet de contempler l'autre. ,Pascal Quignard,
" Une société où le prestige ne correspond plus exactement aux services rendus, où les classes dirigeantes reçoivent plus de la communauté qu'elles ne lui donnent, est une société vouée à la ruine. ",Georges Bernanos,
" L'un des problèmes de notre société aujourd'hui, c'est que les gens ne veulent pas être utiles, mais importants. ",Winston Churchill,
" Nous vivons dans un monde où l'on se cache pour faire l'amour, mais où la violence se pratique à la pleine lumière du jour. ",John Lennon,
" Les moyens de transport rapide et de communication ont fait de notre merveilleuse terre un village, mais nous demeurons étrangers les uns aux autres, fragmentés par nos frontières, nos religions, nos races, nos idéologies, nos cultures. ",Pierre Rabhi,"    Conscience et environnement, Les Éditions du Relié                                "
 La division des hommes en acteurs et spectateurs est le fait central de notre temps. ,Jim Morrison,    Les Seigneurs : Notes sur la vision                                
" La solitude ne vient pas de l'absence de gens autour de nous, mais de notre incapacité à communiquer les choses qui nous semblent importantes. ",Carl Gustav Jung,
 Lire nous confirme que la solitude est un trésor. ,Sylvain Tesson,
 Il y a des gens qui augmentent votre solitude en venant la troubler. ,Sacha Guitry,
 Le meilleur moyen de s'endormir est de s'imaginer qu'il est l'heure de se lever. ,Groucho Marx,
 Il y a des sottises bien habillées comme il y a des sots très bien vêtus. ,Nicolas Chamfort,    Maximes et Pensées                                
 J'ai fait un pas immense le jour où j'ai compris que j'étais seul à entretenir mes souffrances... ,Jacques Salomé,
 On ne guérit d'une souffrance qu'à condition de l'éprouver pleinement. ,Marcel Proust,
 Il n'y a jamais rien de si beau qu'un sourire. ,Louis Aragon,    Les Adieux                                
" On ne se souvient pas des jours, on se souvient des instants. ",Cesare Pavese,
 Les bons souvenirs ne doivent pas être éphémères. ,Marc Levy,    Et si c'était vrai...                                
" Avec des certitudes, point de style. ",Emil Cioran,
" Le secret pour prendre de l'avance, c'est de commencer. ",Mark Twain,
 Le talent d'un homme est ce qui nous manque pour mépriser ou détruire ce qu'il a fait. ,Paul Valéry,    Mauvaises pensées et autres                                
 Le temps perdu c'est le temps pendant lequel on est à la merci des autres. ,Boris Vian,"    Boris Vian, Claire Julliard, éd. Folio                                "
" Maître des horloges, l'homme n'est pas pour autant le maître du temps. ",Bernard Pivot,Fil Twitter de Bernard Pivot 
" La vie est trop courte, le temps trop précieux, pour dire des choses inutiles. ",Voltaire,
" Avec le temps, seul demeure l'essentiel. ",Charles Pépin,
 Je considère que le temps mûrit toutes choses : par temps toutes choses viennent en évidence ; le temps est père de vérité. ,François Rabelais,"    Tiers Livres, XL                                "
" Le temps ferme toutes les blessures, même s'il ne nous épargne pas quelques cicatrices. ",Marc Levy,
 Le temps perdu ne se rattrape jamais. ,Robin Sharma,
" Le meilleur temps pour réparer sa toiture, c'est lorsque le soleil brille. ",John Fitzgerald Kennedy,
" Le temps est un grand maître, dit-on. Le malheur est qu'il tue ses élèves. ",Hector Berlioz,
 Le temps guérit les douleurs et les querelles. ,Blaise Pascal,    Pensées                                
 [...] la terre n'appartient pas à l'homme; l'homme appartient à la terre. ,Seattle,    Extrait d'un discours lors de négociations pour la vente de territoires indiens (1854)                                
 Le théâtre est le premier et le dernier des métiers. ,Voltaire,
" La discorde est le plus grand mal du genre humain, et la tolérance est le seul remède. ",Voltaire,
 Le travail c'est la santé... Mais à quoi sert alors la médecine du travail ? ,Pierre Dac,
" La racine du travail est parfois amère, mais la saveur de ses fruits est toujours exquise. ",Victor Hugo,
 Votre emploi du temps est le meilleur des baromètres. Il indique où se situent vos priorités. ,Robin Sharma,
" Travaillez, prenez de la peine, C'est le fond qui manque le moins. ",Jean de La Fontaine,    Le Laboureur et ses Enfants                                
" Si l'on veut gagner sa vie, il suffit de travailler. Si l'on veut devenir riche, il faut trouver autre chose. ",Alphonse Karr,
" J'aime beaucoup mieux être trompé que de vivre éternellement dans la défiance, fille de la lâcheté et mère de la dissension. ",Bossuet,
" Tant que l'univers aura un commencement, nous pouvons supposer qu'il a eu un créateur. Mais si réellement l'univers se contient tout entier, n'ayant ni frontières ni bord, il ne devrait avoir ni commencement ni fin : il devrait simplement être. Quel place reste-t-il alors pour un créateur ? ",Stephen Hawking,    Une brève histoire du temps - Ed. Fammarion                                
" Les rois font les hommes comme des pièces de monnaie, ils les font valoir ce qu'ils veulent et l'on est forcé de les recevoir selon leur cours, et non selon leur véritable prix. ",La Rochefoucauld,    Maximes                                
 On parle peu quand la vanité ne fait que parler. ,La Rochefoucauld,    Maximes                                
" Toute vérité franchit trois étapes. D'abord elle est ridiculisée. Ensuite, elle subit une forte opposition. Puis, elle est considérée comme ayant toujours été une évidence. ",Arthur Schopenhauer,
 Celui qui ne gueule pas la vérité lorsqu'il la connaît se fait complice des menteurs et des faussaires ! ,Charles Péguy,
" Il ne faut pas s'offenser que les autres nous cachent la vérité, puisque nous nous la cachons si souvent à nous-mêmes. ",La Rochefoucauld,    Maximes                                
 La vérité n'est jamais amusante. Sans cela tout le monde la dirait. ,Michel Audiard,
 La vérité n'est pas le bout du chemin ; elle est le chemin même. ,André Comte-Sponville,
 La vérité est une illusion et l'illusion est une vérité. ,Remy de Gourmont,
" Aimons la vérité qui nous reprend, et défions-nous de celle qui nous flatte. ",Louis Bourdaloue,
 Toutes les grandes vérités commencent par être des blasphèmes. ,George Bernard Shaw,
" Le chien, c'est la vertu qui, ne pouvant se faire homme, s'est faite bête. ",Victor Hugo,
 Nul ne s'est jamais perdu dans le droit chemin. ,Johann Wolfgang von Goethe,
" Vivre, c'est avoir la conscience d'être. ",Victor Hugo,
" Le sens de la vie est de trouver son don, le but de la vie est de le partager. ",Pablo Picasso,
" Quel courage il faut, à certains moments, pour choisir la vie ! ",Henrik Ibsen,
" Seule une bonne et belle vie, bien remplie, bien pleine, pas ratée, permet d'aborder sereinement la mort. ",Michel Onfray,"    Contre-histoire de la philosophie II. Le christianisme hédoniste, éd. Grasset                                "
" Je crois que le rire est la meilleure façon de brûler des calories. Je crois aux baisers, beaucoup de baisers. Je crois qu'il faut être fort quand tout semble aller mal. Je crois que demain est un autre jour et je crois aux miracles. ",Audrey Hepburn,
" Une vie, c'est fait avec de l'avenir, comme les corps sont faits avec du vide. ",Jean-Paul Sartre,
" Nous ne savons pas quoi faire de cette courte vie, et pourtant nous en désirons une autre qui soit éternelle. ",Anatole France,
" L'uniformité c'est la mort, la diversité c'est la vie. ",Mikhaïl Bakounine,
 La vie est trop courte pour être petite. ,Benjamin Disraeli,
" La vie doit être vécue en regardant vers l'avenir, mais elle ne peut être comprise qu'en se retournant vers le passé. ",Søren Kierkegaard,
 J’essaie de traquer les instants où transparaissent une possibilité de vraie vie. ,François Cheng,"    Extrait de ""La Grande Librairie""                                "
 Pourquoi gémir sur les détails de la vie ? C'est la vie entière qu'il faut déplorer. ,Sénèque,    Consolation à Marcia                                
" Dans la lutte pour la vie, celui qui est à bout de souffle, à bout d'arguments, à bout de moyens et à bout de tout n'est malheureusement et par contre pas au bout de ses peines. ",Pierre Dac,
" Quand on aime la vie, on aime le passé, parce que c'est le présent tel qu'il a survécu dans la mémoire humaine. ",Marguerite Yourcenar,
 Nous sommes tous tellement aveugles que nous ne savons jamais d'une façon certaine si ce que nous offre la vie est bon ou mauvais. ,Julien Green,
" On peut naître vieux, comme on peut mourir jeune. ",Jean Cocteau,
" Il n'y a aucun remède contre la naissance et la mort, sinon de profiter de la période qui les sépare. ",George Santayana,    Soliloques en Angleterre                                
 Nous sommes tous des amateurs. On ne vit pas assez longtemps pour être autre chose. ,Charlie Chaplin,
 Le sens de la vie est la plus pressante des questions. ,Albert Camus,
" Etre vieux, c'est être jeune depuis plus longtemps que les autres. ",Philippe Geluck,
 N'être plus écouté : c'est cela qui est terrible lorsqu'on est vieux. ,Albert Camus,
" Les conseils de la vieillesse éclairent sans échauffer, comme le soleil de l'hiver. ",Vauvenargues,    Réflexions et Maximes                                
 C'est une des pires humiliation de la vieillesse de ne rien recevoir que de la pitié. ,Hugues-Félicité Robert de Lamennais,
 Il n'y a nulle correspondance entre notre déchéance physique et notre cœur qui ne vieillit pas. ,François Mauriac,    Le Jeune Homme                                
 Un type qui ne boit pas de vin est un type qui ne connaîtra jamais le bonheur. ,Claude Chabrol,
" Si vous voulez vraiment faire quelque chose, vous trouverez un moyen. Sinon, vous trouverez une excuse. ",Jim Rohn,
" Imposer sa volonté aux autres, c'est force. Se l'imposer à soi-même, c'est force supérieure. ",Lao-Tseu,
 Celui qui choisit la route comme ligne de vie doit préférer regarder la lumière par la fenêtre plutôt que l'obscurité au fond de son puits. ,Sylvain Tesson,"    Sur les chemins noirs, éd. Gallimard                                "
" Ce que j'aime dans les voyages, c'est l'étonnement du retour. ",Stendhal,
 Les voyages prouvent moins de curiosité pour les choses que l'on va voir que l'ennui de celles que l'on quitte. ,Alphonse Karr,
